名前,外皮,リーチ,範囲,同攻,段数,速度,タフ
アイヴィクル,超柔,60,100,4体,,54,43
アイスゴーレム,硬い,65,135,3体,,40,75
アウリエル,通常,35,70,3体,,67,45
アラーモウド,超硬,40,75,4体,,34,69
アンキロクロス,"特硬	",40,80,3体,,40,78
アンデット,柔らかい,30,45,2体,,40,54
ヴァルカシャルダム,通常,80,115,8体,,45,58
ヴィンデール,通常,115,150,4体,,60,72
エヴォル,通常,85,145,3体,3段,51,61
オルガウス,通常,75,145,5体,4段,38,46
ガラパゴシア,柔らかい,65,130,4体,3段,42,63
ギロスター,硬い,50,110,1体,2段,57,56
グラオンス,通常,35,65,4体,2段,60,48
コジェラシオン,硬い,20,35,3体,,30,51
ジェラシオン,"特硬	",30,45,3体,3段,67,69
シックル,柔らかい,40,60,2体,,43,36
スネイレン,硬い,70,125,3体,3段,48,55
スノンスノン,特柔,115,135,4体,3段,60,40
セネガルガ,特柔,70,140,3体,4段,40,45
ソルヘルラム,超硬,20,80,3体,3段,32,72
ディンプシオン,硬い,90,140,6体,,40,68
ネコムート,硬い,60,135,4体,,63,40
パラディシア,硬い,110,145,6体,3段,60,6
フィーラー,柔らかい,60,90,3体,,33,31
フィーラーポポ,柔らかい,60,140,3体,4段,44,41
フェンリク,柔らかい,50,110,2体,,60,52
フォルチュナ,通常,75,120,6体,,52,34
プシュパ,柔らかい,35,55,3体,,63,26
プラートル,特硬,35,60,2体,2段,65,27
ブリザードドラゴン,硬い,80,120,3体,,48,42
プレディツィー,通常,35,50,3体,,49,59
フロズニア,通常,80,120,5体,,47,40
マルクトドラゴン,通常,30,60,3体,,48,53
ムーシームー,通常,85,115,8体,,43,44
メッゾドラニカ,硬い,60,140,3体,,40,53
メリギール,特柔,90,140,4体,3段,55,44
モグマグミ,特柔,70,110,4体,3段,55,61
ヤミミズク,柔らかい,45,125,4体,,64,13
ヨウコク,通常,65,105,3体,3段,53,46
リュレインクレイン,通常,66,126,6体,,44,42
ルオスカヌマ,通常,30,100,2体,,62,35
ローラレイン,特柔,75,125,4体,3段,52,34
ロングスパイニー,柔らかい,80,120,3体,,41,29
ワオリオ,柔らかい,40,60,3体,,52,44
真マルクトドラゴン,通常,65,130,4体,3段,46,65
エリシオン,柔らかい,120,140,5体,,54,56
シャーサイル,硬い,75,85,3体,2段,69,69
ミリョン・バウ,通常,95,125,8体,3段,41,80
アワアワ,柔らかい,60,105,3体,4段,60,39
