名前,外皮,リーチ,範囲,同攻,段数,速度,タフ
アヴァローゼス,特硬,75,110,2体,,31,74
ヴェルヴォルド,通常,35,70,6体,,51,63
ウェルネシア,柔らかい,80,140,4体,3段,52,55
ウズラカズラ,特硬,65,130,3体,3段,63,40
エニグマ,硬い,30,50,7体,5段,90,42
オーヴ,特柔,105,130,3体,,58,22
オニクモキリ,特硬,55,110,2体,2段,54,65
かさじぞう,硬い,75,85,1体,3段,53,45
グランラグナ,通常,77,127,3体,,53,47
クリカラ,柔らかい,40,80,3体,,48,46
クロウウィズ,柔らかい,60,100,3体,,35,46
グロピオン,硬い,40,60,1体,,58,50
ザーカス,通常,65,120,5体,,62,32
サイクロペジ,特柔,45,80,4体,,59,47
シェペトヌス,通常,80,140,4体,3段,42,53
シュトフティ,特柔,115,145,4体,3段,61,48
ジライアー,特柔,50,120,4体,3段,45,48
スカンデ,柔らかい,60,90,4体,,27,46
すぺりあん,通常,30,65,10体,2段,41,49
ダニエル,柔らかい,40,130,4体,,43,46
チュリレオン,硬い,60,95,2体,,56,54
デスファレウム,通常,70,140,3体,2段,43,60
ナイトメア,通常,55,105,3体,2段,66,22
ネウルハイド,通常,30,70,4体,2段,50,58
ネコドラゴン,柔らかい,40,130,5体,,42,44
ノクスゼノン,通常,45,90,5体,,62,59
ノクターン,通常,90,135,4体,3段,47,38
パスィルーケ,通常,30,90,3体,4弾,65,38
パルメイス,通常,90,110,8体,,39,60
ファーザー,特硬,75,140,7体,5段,58,42
ファルケニース,柔らかい,25,70,4体,,59,79
ファンガス,硬い,50,70,2体,2段,37,67
ブラックスワン,柔らかい,80,120,3体,3段,64,45
プロトクライド,通常,45,100,3体,,70,40
ベノム,硬い,40,60,2体,,38,48
ベルナデッタ,硬い,40,120,3体,,48,54
ホーリーバイソン,柔らかい,45,65,2体,,47,55
マッドハンドラ,硬い,65,100,3体,,66,11
マンティスアント,硬い,50,75,1体,2段,64,57
ミストロール,特柔,100,140,3体,4段,49,53
ミュージカ,通常,65,130,5体,3段,51,49
メルキオーガ,硬い,60,140,4体,,65,28
ユニルス,柔らかい,30,45,2体,,57,20
ヨルノロンド,通常,90,125,5体,,46,36
ラビンパル,通常,70,120,6体,,55,39
リベラビルス,柔らかい,60,90,3体,,55,55
リミムー,通常,30,45,3体,,67,36
レトラペイン,通常,90,120,10体,3段,29,82
ワイバーン,柔らかい,60,90,3体,,66,15
ワルチューレ,特柔,60,100,3体,,55,60
漆黒竜ベルナデッタ,硬い,50,150,3体,3段,44,66
ティアリモ,柔らかい,95,120,2体,,42,62
ピキオ,通常,15,30,3体,,64,32
ウルール,通常,20,35,3体,4段,59,39
ブートストラップ,硬い,25,75,2体,3段,36,68
ダウゥツル,通常,105,140,4体,5段,58,43
ペリファニルス,硬い,60,70,4体,2段,57,67
ペリファニアンサス,硬い,70,90,4体,2段,45,68
