名前,外皮,リーチ,範囲,同攻,段数,速度,タフ
アースドラゴン,硬い,50,150,5体,,39,45
アグラム,特硬,30,60,4体,,50,55
アドゥルム,通常,60,95,6体,,62,53
イブギオウ,通常,60,120,4体,,47,44
エスターヴァニ,柔らかい,75,135,4体,3段,66,46
エトアース,通常,40,90,2体,3段,48,34
オオマガツフウジャ,硬い,80,145,4体,,38,66
オキュペ,柔らかい,70,115,4体,2段,71,63
オスロメルス,柔らかい,95,150,3体,2段,61,43
カカルー,柔らかい,70,100,2体,,46,33
キーフェルン,硬い,55,100,3体,5段,41,51
クァラビー,柔らかい,30,60,3体,,56,52
グラスプス,硬い,110,115,5体,,42,72
ゴズオルム,特硬,80,120,2体,2段,57,63
サクメイ,柔らかい,65,105,5体,3段,57,46
サルネ,通常,40,125,8体,,53,42
ジェイザール,通常,30,75,4体,2段,75,11
スチレット,特硬,50,90,4体,3段,56,45
スノロール,通常,60,140,4体,,66,14
ダイオドルクス,硬い,110,140,5体,,50,70
チュラマダ,柔らかい,90,140,3体,,48,48
ドレイクマン,通常,70,85,4体,,55,41
ノーズハンマー,硬い,40,60,3体,,28,60
バルカール,通常,40,70,4体,,54,59
バロンシャロン,通常,55,145,4体,4段,52,61
ピッカー,柔らかい,30,45,2体,,47,31
フォレガスホルン,通常,85,145,4体,4段,39,54
フォレストトン,特柔,90,135,4体,3段,60,52
ベロックス,通常,55,140,5体,,39,70
ホイッパー,通常,60,90,1体,3段,66,38
ホロジア,硬い,40,75,3体,,55,36
マーシュレイク,通常,12,60,6体,,62,53
モクトピア,通常,50,100,4体,,42,55
ヤンシェンメイ,通常,45,135,4体,2段,46,68
ユラスカシバ,柔らかい,65,95,5体,3段,64,33
ヨルグリア,通常,35,65,5体,,57,47
ルーク,硬い,20,30,7体,,30,63
ローリィ,硬い,30,45,2体,,44,29
ロゾー,通常,55,90,2体,4段,65,18
マカアナ,超硬,95,130,4体,2段,32,76
ニナブ,通常,90,125,2体,6段,51,23
