名前,外皮,リーチ,範囲,同攻,段数,速度,タフ,,サイズ1,体力1,,サイズ2,体力2
エリユドーン,特硬,20,40,8体,,59,47,,1799,167377,,,
エンゼガル,通常,60,90,3体,,57,44,,1709,93890,,1717,94340
カウボルダス,通常,90,135,3体,3段,57,62,,1718,156740,,1703,155335
ギッチョフンゴ,柔らかい,40,120,4体,,40,40,,1716,85800,,,
クイーンスピッツ,硬い,50,75,2体,3段,55,9,,1706,131377,,1717,132220
クーウェイ,通常,45,80,3体,,65,20,,1702,108308,,1720,109453
クーペルクーペ,特柔,80,140,5体,5段,60,14,,1762,154488,,1761,154400
グラニアゼウス,硬い,95,145,5体,,45,66,,1720,144480,,1701,142867
グリフォン,硬い,40,60,3体,,40,42,,1667,68763,,1707,70413
クレプトロン,硬い,100,120,2体,3段,61,58,,1704,160072,,1712,160748
ゴルグノン,特硬,30,60,3体,5段,65,35,,1720,143853,,1719,143770
コロモ,通常,90,145,5体,,61,26,,1799,155915,,,
サウンダー,通常,60,120,3体,3段,59,49,,1604,79398,,1704,84348
サバーチェ,柔らかい,20,60,4体,,43,42,,1720,88605,,1717,88451
シューリー,通常,60,140,4体,4段,50,47,,1599,88832,,1719,95499
ジュグラギ,通常,45,135,3体,3段,60,47,,1717,135299,,1716,135189
シンフォウル,通常,50,90,4体,3段,62,39,,1733,125697,,1712,124145
スウォランス,特硬,115,135,4体,3段,58,47,,1720,168560,,1707,167207
スパイラリ,通常,35,70,3体,,48,45,,1592,87560,,1712,94160
スピッツ,硬い,30,45,2体,,51,13,,1614,51788,,1714,54997
セイナクティ,通常,20,40,2体,,36,61,,1663,132702,,1703,135894
ダルルポルル,特柔,65,130,2体,,46,48,,1707,146602,,1711,146945
チェリプルモ,通常,35,90,7体,,56,66,,1799,173303,,,
ティラミスタ,硬い,70,140,4体,3段,47,55,,1577,143507,,1717,156247
デザルトス,特硬,60,100,4体,4段,51,68,,1717,105767,,1708,105175
ドランシー,柔らかい,40,145,4体,,46,45,,1669,88457,,1709,90577
トロボック,柔らかい,95,115,4体,,39,49,,1708,143195,,,
ニライカナイ,特柔,80,110,4体,5段,52,40,,1789,173533,,1709,165773
ねこにょらい,通常,30,60,6体,3段,52,48,,1718,97546,,,
バメル,通常,20,30,1体,4段,60,50,,1560,81939,,1720,90343
ピサンカ,硬い,60,95,3体,5段,53,51,,1747,145001,,1722,142926
ファーブニール,硬い,80,120,5体,5段,50,42,,1586,117760,,1706,126670
フェアリーナイト,通常,80,110,5体,2段,58,32,,1787,95306,,1752,93439
フェネト,超柔,40,90,4体,,56,48,,1720,159788,,1763,163782
ブラン,通常,100,140,4体,2段,64,49,,1793,172789,,1707,164444
ペタルデス,柔らかい,110,150,4体,4段,68,7,,1485,59400,,1565,62600
ペルルランダー,通常,40,80,5体,,63,25,,1726,138867,,,
ボルキロネッラ,特硬,80,135,4体,2段,47,67,,1711,167237,,1720,168176
マスターグリフォン,硬い,60,90,4体,,25,50,,1598,69573,,1718,74798
マローニア,通常,45,90,8体,,60,45,,1799,158110,,,
モルフィーネ,通常,55,110,6体,,57,41,,1799,152915,,,
ユニセロス,通常,50,100,4体,,60,45,,1720,116770,,,
ラクタスオル,通常,70,105,4体,,37,67,,1720,170280,,1719,170181
ラムハーン,柔らかい,30,60,3体,,43,53,,1684,127027,,1704,128536
レオファントム,硬い,75,140,3体,,45,61,,1318,120597,,1358,124257
ワーテリア,柔らかい,20,40,2体,,65,43,,1715,93201,,1719,93419
巨神ネコ,硬い,30,60,4体,,38,55,,1790,80550,,,
